wake_model,seed,gradient_iterations,method,AEP [GWh],Improvement over Horns Rev [GWh],Improvement over SmartStart [GWh],runtime_sec,recorded_gradient_iterations,smartstart_seed,smartstart_random_pct,row_type,run_name,script,gradient_iterations_setting,iteration,phase,elapsed_sec,timing_source
NOJ,1,0.0,SmartStart,72.27765953724,1.8031857729739187,0.0,89.9940110000316,0.0,1,10,summary,,,,,,,
NOJ,1,10.0,SS-Gradient,72.43694819336793,1.9624744291018459,0.1592886561279272,18.206824200053234,12.0,1,10,summary,,,,,,,
NOJ,1,20.0,SS-Gradient,72.44336818378643,1.9688944195203533,0.16570864654643458,34.160534300026484,23.0,1,10,summary,,,,,,,
NOJ,1,50.0,SS-Gradient,72.59486657939361,2.1203928151275306,0.31720704215361195,78.32493599998998,53.0,1,10,summary,,,,,,,
NOJ,1,100.0,SS-Gradient,72.67461086293169,2.200137098665607,0.39695132569168834,157.80927319999319,107.0,1,10,summary,,,,,,,
NOJ,1,200.0,SS-Gradient,72.72774073245121,2.2532669681851303,0.4500811952112116,271.43127260002075,181.0,1,10,summary,,,,,,,
NOJ,1,500.0,SS-Gradient,72.72774073245121,2.2532669681851303,0.4500811952112116,286.8831301999744,181.0,1,10,summary,,,,,,,
NOJ,2,0.0,SmartStart,72.16181375217445,1.6873399879083735,0.0,77.78750299999956,0.0,2,10,summary,,,,,,,
NOJ,2,10.0,SS-Gradient,72.35177462476531,1.8773008604992327,0.18996087259085925,18.526726700016297,12.0,2,10,summary,,,,,,,
NOJ,2,20.0,SS-Gradient,72.42346485446468,1.9489910901986036,0.26165110229023014,35.42906120000407,23.0,2,10,summary,,,,,,,
NOJ,2,50.0,SS-Gradient,72.5450451202294,2.070571355963324,0.3832313680549504,83.63697940000566,56.0,2,10,summary,,,,,,,
NOJ,2,100.0,SS-Gradient,72.59320228891659,2.118728524650507,0.4313885367421335,161.77648819994647,106.0,2,10,summary,,,,,,,
NOJ,2,200.0,SS-Gradient,72.64255057506472,2.168076810798638,0.48073682289026465,217.65206480002962,142.0,2,10,summary,,,,,,,
NOJ,2,500.0,SS-Gradient,72.64255057506472,2.168076810798638,0.48073682289026465,220.03346659999806,142.0,2,10,summary,,,,,,,
NOJ,3,0.0,SmartStart,72.17155513263042,1.697081368364337,0.0,78.16446220001671,0.0,3,10,summary,,,,,,,
NOJ,3,10.0,SS-Gradient,72.32722266895976,1.8527489046936836,0.1556675363293465,18.339634599979036,12.0,3,10,summary,,,,,,,
NOJ,3,20.0,SS-Gradient,72.3341049387466,1.8596311744805263,0.1625498061161892,36.126072100014426,25.0,3,10,summary,,,,,,,
NOJ,3,50.0,SS-Gradient,72.55532565136203,2.080851887095946,0.38377051873160895,82.35721859999467,55.0,3,10,summary,,,,,,,
NOJ,3,100.0,SS-Gradient,72.64422054875399,2.169746784487913,0.4726654161235757,156.6705267999787,106.0,3,10,summary,,,,,,,
NOJ,3,200.0,SS-Gradient,72.65585187767911,2.1813781134130323,0.48429674504869524,166.28565450001042,113.0,3,10,summary,,,,,,,
NOJ,3,500.0,SS-Gradient,72.65585187767911,2.1813781134130323,0.48429674504869524,163.11616519995732,113.0,3,10,summary,,,,,,,
NOJ,1,,,72.27765953724,,,,,1,10,history,gradient_iterations_10_seed1,RunSS_Gradient_Iterations,10.0,0.0,Gradient,0.0,interpolated_from_total_runtime
NOJ,1,,,72.27765953724,,,,,1,10,history,gradient_iterations_10_seed1,RunSS_Gradient_Iterations,10.0,1.0,Gradient,1.5172353500044362,interpolated_from_total_runtime
NOJ,1,,,72.27765953724,,,,,1,10,history,gradient_iterations_10_seed1,RunSS_Gradient_Iterations,10.0,2.0,Gradient,3.0344707000088724,interpolated_from_total_runtime
NOJ,1,,,72.27766088101683,,,,,1,10,history,gradient_iterations_10_seed1,RunSS_Gradient_Iterations,10.0,3.0,Gradient,4.551706050013308,interpolated_from_total_runtime
NOJ,1,,,72.27766759994928,,,,,1,10,history,gradient_iterations_10_seed1,RunSS_Gradient_Iterations,10.0,4.0,Gradient,6.068941400017745,interpolated_from_total_runtime
NOJ,1,,,72.27770119568973,,,,,1,10,history,gradient_iterations_10_seed1,RunSS_Gradient_Iterations,10.0,5.0,Gradient,7.586176750022181,interpolated_from_total_runtime
NOJ,1,,,72.27786920120982,,,,,1,10,history,gradient_iterations_10_seed1,RunSS_Gradient_Iterations,10.0,6.0,Gradient,9.103412100026617,interpolated_from_total_runtime
NOJ,1,,,72.27870986326505,,,,,1,10,history,gradient_iterations_10_seed1,RunSS_Gradient_Iterations,10.0,7.0,Gradient,10.620647450031054,interpolated_from_total_runtime
NOJ,1,,,72.2829302872079,,,,,1,10,history,gradient_iterations_10_seed1,RunSS_Gradient_Iterations,10.0,8.0,Gradient,12.13788280003549,interpolated_from_total_runtime
