script,wake_model,seed,method,Fine AEP [GWh],eval_wd_step_deg,eval_n_wd,eval_ws_step,eval_ws_min,eval_ws_max
ResultsRS,NOJ,1,Current Horns Rev,701.8653557500002,1,360,1,3,25
ResultsRS,NOJ,1,RS,715.1495892124769,1,360,1,3,25
ResultsRS,NOJ,1,RS--2S,715.2059035295349,1,360,1,3,25
ResultsRS,NOJ,1,RS--2S--GB,715.2059035295349,1,360,1,3,25
ResultsRS,NOJ,1,RS--GB,715.1495892124769,1,360,1,3,25
ResultsRS,NOJ,2,Current Horns Rev,701.8653557500002,1,360,1,3,25
ResultsRS,NOJ,2,RS,714.8628386376877,1,360,1,3,25
ResultsRS,NOJ,2,RS--2S,715.0286888365631,1,360,1,3,25
ResultsRS,NOJ,2,RS--2S--GB,715.0286888365631,1,360,1,3,25
ResultsRS,NOJ,2,RS--GB,714.8628386376877,1,360,1,3,25
ResultsRS,NOJ,3,Current Horns Rev,701.8653557500002,1,360,1,3,25
ResultsRS,NOJ,3,RS,715.2148260994957,1,360,1,3,25
ResultsRS,NOJ,3,RS--2S,715.4938251155713,1,360,1,3,25
ResultsRS,NOJ,3,RS--2S--GB,715.4938251155713,1,360,1,3,25
ResultsRS,NOJ,3,RS--GB,715.2148260994957,1,360,1,3,25
ResultsRS,NOJ,4,Current Horns Rev,701.8653557500002,1,360,1,3,25
ResultsRS,NOJ,4,RS,715.3067586685179,1,360,1,3,25
ResultsRS,NOJ,4,RS--2S,715.5481589882329,1,360,1,3,25
ResultsRS,NOJ,4,RS--2S--GB,715.5481589882329,1,360,1,3,25
ResultsRS,NOJ,4,RS--GB,715.3067586685179,1,360,1,3,25
ResultsRS,NOJ,5,Current Horns Rev,701.8653557500002,1,360,1,3,25
ResultsRS,NOJ,5,RS,715.1210552750379,1,360,1,3,25
ResultsRS,NOJ,5,RS--2S,715.2918760697996,1,360,1,3,25
ResultsRS,NOJ,5,RS--2S--GB,715.2918760697996,1,360,1,3,25
ResultsRS,NOJ,5,RS--GB,715.1210552750379,1,360,1,3,25
ResultsSS,NOJ,1,Current Horns Rev,701.8653557500002,1,360,1,3,25
ResultsSS,NOJ,1,SS,712.5999260931527,1,360,1,3,25
ResultsSS,NOJ,1,SS--2S,714.8891257167484,1,360,1,3,25
ResultsSS,NOJ,1,SS--2S--GB,714.8891257167484,1,360,1,3,25
ResultsSS,NOJ,1,SS--GB,712.5999260931527,1,360,1,3,25
ResultsSS,NOJ,2,Current Horns Rev,701.8653557500002,1,360,1,3,25
ResultsSS,NOJ,2,SS,712.4610690302246,1,360,1,3,25
ResultsSS,NOJ,2,SS--2S,714.8069940713654,1,360,1,3,25
ResultsSS,NOJ,2,SS--2S--GB,714.8069940713654,1,360,1,3,25
ResultsSS,NOJ,2,SS--GB,712.4610690302246,1,360,1,3,25
ResultsSS,NOJ,3,Current Horns Rev,701.8653557500002,1,360,1,3,25
ResultsSS,NOJ,3,SS,712.3267720782876,1,360,1,3,25
ResultsSS,NOJ,3,SS--2S,714.9942065854406,1,360,1,3,25
ResultsSS,NOJ,3,SS--2S--GB,714.9942065854406,1,360,1,3,25
ResultsSS,NOJ,3,SS--GB,712.3267720782876,1,360,1,3,25
ResultsSS,NOJ,4,Current Horns Rev,701.8653557500002,1,360,1,3,25
ResultsSS,NOJ,4,SS,712.036728916994,1,360,1,3,25
ResultsSS,NOJ,4,SS--2S,714.6826359487975,1,360,1,3,25
ResultsSS,NOJ,4,SS--2S--GB,714.6826359487975,1,360,1,3,25
ResultsSS,NOJ,4,SS--GB,712.036728916994,1,360,1,3,25
ResultsSS,NOJ,5,Current Horns Rev,701.8653557500002,1,360,1,3,25
ResultsSS,NOJ,5,SS,712.3272656645681,1,360,1,3,25
ResultsSS,NOJ,5,SS--2S,714.8439713195792,1,360,1,3,25
ResultsSS,NOJ,5,SS--2S--GB,714.8439713195792,1,360,1,3,25
ResultsSS,NOJ,5,SS--GB,712.3272656645681,1,360,1,3,25
