script,wake_model,seed,method,AEP [GWh],Surrogate AEP [GWh],Improvement over Horns Rev [GWh],runtime_sec,iterations,wd_step_deg,n_wd,ws,random_step_schedule_D,plot_AEP [GWh],Optimization AEP [GWh],Fine AEP [GWh],eval_wd_step_deg,eval_n_wd,eval_ws_step,eval_ws_min,eval_ws_max,Fine minus Optimization AEP [GWh]
ResultsSS,NOJ,1,Current Horns Rev,701.8653557500002,70.00978952706822,0.0,0.0,0,5,72,9.6,,701.8653557500002,701.8653557500002,701.8653557500002,1,360,1,3,25,0.0
ResultsSS,NOJ,1,SS,712.5999260931526,72.12193614866618,10.734570343152429,88.3128779999679,0,5,72,9.6,,712.5999260931527,72.12193614866618,712.5999260931527,1,360,1,3,25,640.4779899444866
ResultsSS,NOJ,1,SS--2S,714.8891257167484,72.6325632798648,13.023769966748205,17591.680265099974,560,5,72,9.6,,714.8891257167484,72.6325632798648,714.8891257167484,1,360,1,3,25,642.2565624368835
ResultsSS,NOJ,1,SS--GB,712.5999260931526,72.12193614866618,10.734570343152429,97.25687509996352,2000,5,72,9.6,,712.5999260931527,72.12193614866618,712.5999260931527,1,360,1,3,25,640.4779899444866
ResultsSS,NOJ,1,SS--2S--GB,714.8891257167484,72.6325632798648,13.023769966748205,17599.728963599948,2560,5,72,9.6,,714.8891257167484,72.6325632798648,714.8891257167484,1,360,1,3,25,642.2565624368835
ResultsSS,NOJ,2,Current Horns Rev,701.8653557500002,70.00978952706822,0.0,0.0,0,5,72,9.6,,701.8653557500002,701.8653557500002,701.8653557500002,1,360,1,3,25,0.0
ResultsSS,NOJ,2,SS,712.4610690302251,72.104949528579,10.595713280224912,164.2279529000516,0,5,72,9.6,,712.4610690302246,72.104949528579,712.4610690302246,1,360,1,3,25,640.3561195016456
ResultsSS,NOJ,2,SS--2S,714.8069940713663,72.61255453642804,12.9416383213661,11894.386513100064,320,5,72,9.6,,714.8069940713654,72.61255453642804,714.8069940713654,1,360,1,3,25,642.1944395349374
ResultsSS,NOJ,2,SS--GB,712.4610690302251,72.104949528579,10.595713280224912,169.90041760005988,2000,5,72,9.6,,712.4610690302246,72.104949528579,712.4610690302246,1,360,1,3,25,640.3561195016456
ResultsSS,NOJ,2,SS--2S--GB,714.8069940713663,72.61255453642804,12.9416383213661,11899.650170100096,2320,5,72,9.6,,714.8069940713654,72.61255453642804,714.8069940713654,1,360,1,3,25,642.1944395349374
ResultsSS,NOJ,3,Current Horns Rev,701.8653557500002,70.00978952706822,0.0,0.0,0,5,72,9.6,,701.8653557500002,701.8653557500002,701.8653557500002,1,360,1,3,25,0.0
ResultsSS,NOJ,3,SS,712.3267720782877,72.0677044061938,10.461416328287555,107.48660689999816,0,5,72,9.6,,712.3267720782876,72.0677044061938,712.3267720782876,1,360,1,3,25,640.2590676720938
ResultsSS,NOJ,3,SS--2S,714.99420658544,72.62882984767117,13.128850835439836,22027.821873299952,720,5,72,9.6,,714.9942065854406,72.62882984767117,714.9942065854406,1,360,1,3,25,642.3653767377693
