wake_model,seed,iterations,max_step_D,method,AEP [GWh],Improvement over Horns Rev [GWh],runtime_sec
NOJ,1,0,10,Current Horns Rev,70.00978952706822,0.0,
NOJ,1,10000,10,RandomSearch,72.81917608219706,2.809386555128839,6625.0419599000015
NOJ,2,0,10,Current Horns Rev,70.00978952706822,0.0,
NOJ,2,10000,10,RandomSearch,72.86400469114082,2.854215164072599,7299.359985899995
NOJ,3,0,10,Current Horns Rev,70.00978952706822,0.0,
NOJ,3,10000,10,RandomSearch,72.80062531728151,2.7908357902132934,8535.56860920001
NOJ,4,0,10,Current Horns Rev,70.00978952706822,0.0,
NOJ,4,10000,10,RandomSearch,72.834768108209,2.8249785811407833,9043.743695000012
NOJ,5,0,10,Current Horns Rev,70.00978952706822,0.0,
NOJ,5,10000,10,RandomSearch,72.82604389737543,2.816254370307206,9113.63569200001
NOJ,6,0,10,Current Horns Rev,70.00978952706822,0.0,
NOJ,6,10000,10,RandomSearch,72.85499455043698,2.845205023368763,7632.913828999997
