wake_model,seed,iterations,max_step_D,method,AEP [GWh],Improvement over Horns Rev [GWh],runtime_sec,step_schedule
NOJ,1,2000,0.0,Current Horns Rev,70.00978952706822,0.0,,
NOJ,1,2000,1.0,RandomSearch,71.3980773957778,1.3882878687095825,503.9022459000116,
NOJ,1,2000,5.0,RandomSearch,72.43351419264788,2.4237246655796554,535.3096805999521,
NOJ,1,2000,10.0,RandomSearch,72.61880421202905,2.609014684960826,691.9541612000321,
NOJ,1,2000,20.0,RandomSearch,72.6826675297213,2.6728780026530785,1128.5359177000355,
NOJ,1,2000,30.0,RandomSearch,72.77504347154772,2.765253944479497,1751.0384377000155,
NOJ,1,2000,50.0,RandomSearch,72.76413084456324,2.754341317495019,1774.459959800006,
NOJ,1,2000,,RandomSearch staged,72.7205119198097,2.7107223927414736,916.7597344999667,coarse_to_fine_20_5_1D
NOJ,2,2000,0.0,Current Horns Rev,70.00978952706822,0.0,,
NOJ,2,2000,1.0,RandomSearch,71.35188669721427,1.3420971701460473,478.9282797999913,
NOJ,2,2000,5.0,RandomSearch,72.48303883632704,2.4732493092588186,632.8219517999678,
NOJ,2,2000,10.0,RandomSearch,72.66442152742381,2.6546320003555905,1034.6290404999745,
NOJ,2,2000,20.0,RandomSearch,72.72834090384771,2.7185513767794873,1554.2088271999964,
NOJ,2,2000,30.0,RandomSearch,72.70523169636031,2.695442169292093,1597.6787282000296,
NOJ,2,2000,50.0,RandomSearch,72.68387112808486,2.6740816010166384,1630.6847986000357,
NOJ,2,2000,,RandomSearch staged,72.68453727541878,2.674747748350555,1069.0827575000003,coarse_to_fine_20_5_1D
NOJ,3,2000,0.0,Current Horns Rev,70.00978952706822,0.0,,
NOJ,3,2000,1.0,RandomSearch,71.40204327187092,1.3922537448027015,882.2780256000115,
NOJ,3,2000,5.0,RandomSearch,72.52940605821128,2.5196165311430576,1064.32708800002,
NOJ,3,2000,10.0,RandomSearch,72.59780599663527,2.5880164695670516,1013.5883459000033,
NOJ,3,2000,20.0,RandomSearch,72.71446569517147,2.704676168103248,894.2482042000047,
NOJ,3,2000,30.0,RandomSearch,72.70790549421537,2.698115967147146,1946.3969046000275,
NOJ,3,2000,50.0,RandomSearch,72.76184606528332,2.7520565382151005,2343.1609529000125,
NOJ,3,2000,,RandomSearch staged,72.7609069222784,2.751117395210173,1314.8854736000649,coarse_to_fine_20_5_1D
