seed,spacing_D,iteration,AEP [GWh]
1,3,1,0.9852548472611584
1,3,2,1.9701877032884882
1,3,3,2.9541878568500843
1,3,4,3.9368226114090588
1,3,5,4.914234791442181
1,3,6,5.89205700975455
1,3,7,6.868106153050213
1,3,8,7.840367848647073
1,3,9,8.814145074100596
1,3,10,9.777472558004977
1,3,11,10.744340098023587
1,3,12,11.707939238614637
1,3,13,12.66715452482585
1,3,14,13.6408270400865
1,3,15,14.5991230161611
1,3,16,15.556155585590826
1,3,17,16.505276891861644
1,3,18,17.45570855963642
1,3,19,18.40010996234522
1,3,20,19.355551753681123
1,3,21,20.29729075543368
1,3,22,21.248496927467414
1,3,23,22.173718617898768
1,3,24,23.116651373089717
1,3,25,24.037568874485874
1,3,26,24.972277378737914
1,3,27,25.88989893611521
1,3,28,26.835877306617295
1,3,29,27.74149120389813
1,3,30,28.672016867113673
1,3,31,29.599401763802998
1,3,32,30.518774024889105
1,3,33,31.417678597051594
1,3,34,32.302582401686934
1,3,35,33.214406664029156
1,3,36,34.14303258037796
1,3,37,35.074154476220436
1,3,38,35.97972348400131
1,3,39,36.87574797088266
1,3,40,37.79460250493315
1,3,41,38.700883950104256
1,3,42,39.59371128319668
1,3,43,40.48713962136426
1,3,44,41.39311962257221
1,3,45,42.277190129013576
1,3,46,43.14007981436163
1,3,47,44.054516609164054
1,3,48,44.931760082740276
1,3,49,45.82497706520091
1,3,50,46.729744872101264
1,3,51,47.60440397601479
1,3,52,48.47268678890583
1,3,53,49.30579376323327
1,3,54,50.15316575963564
1,3,55,51.031172052845235
1,3,56,51.89641866586281
1,3,57,52.75987452235283
1,3,58,53.6064058785534
1,3,59,54.463938165958126
1,3,60,55.33367552169673
1,3,61,56.20434312591717
1,3,62,57.0596987658491
1,3,63,57.919270381818805
1,3,64,58.7832725892782
1,3,65,59.63896060446477
1,3,66,60.47905932580416
1,3,67,61.37989961465719
1,3,68,62.240430945541306
1,3,69,63.08464877843436
1,3,70,63.93843144630431
1,3,71,64.79155340246199
1,3,72,65.58898754625994
1,3,73,66.42096813850952
1,3,74,67.27896080530286
1,3,75,68.10468531570875
1,3,76,68.97706140339183
1,3,77,69.81382064427787
1,3,78,70.66650539502763
1,3,79,71.50288453732708
1,3,80,72.33466965278694
1,4,1,0.9852548472611584
1,4,2,1.9701877032884882
1,4,3,2.9541878568500843
1,4,4,3.937307615265888
1,4,5,4.914040919962764
1,4,6,5.890352332840321
1,4,7,6.863445497753563
1,4,8,7.8360005864818545
1,4,9,8.809896727811054
1,4,10,9.783059395472662
1,4,11,10.75202079151762
1,4,12,11.71426284480317
1,4,13,12.684822882605362
1,4,14,13.647042695849763
1,4,15,14.603915212707559
1,4,16,15.55681357313655
1,4,17,16.51045420417853
1,4,18,17.45903967307683
1,4,19,18.4201434949539
1,4,20,19.36532179388181
1,4,21,20.303275387260634
1,4,22,21.22682736136364
1,4,23,22.15647624892187
1,4,24,23.09762263102894
1,4,25,24.033653695263656
1,4,26,24.975377285366008
1,4,27,25.882975923658805
1,4,28,26.792506609686168
1,4,29,27.73584949048037
1,4,30,28.67748356834032
1,4,31,29.592183724840375
1,4,32,30.52724113285884
1,4,33,31.436637472008652
1,4,34,32.35831730997899
1,4,35,33.26844940624861
1,4,36,34.17692347701298
1,4,37,35.10377260427376
1,4,38,36.004150548472964
1,4,39,36.905081822729294
1,4,40,37.802321985864175
1,4,41,38.70680121281477
1,4,42,39.61433835661347
1,4,43,40.51683510898516
1,4,44,41.41228311128452
1,4,45,42.31090329538298
1,4,46,43.21639652096272
1,4,47,44.09358000077593
1,4,48,44.97048458307236
1,4,49,45.85630114013428
1,4,50,46.73774852935466
1,4,51,47.613601673345016
1,4,52,48.49709197493323
1,4,53,49.41585918831589
1,4,54,50.283479174307004
1,4,55,51.13398266569476
1,4,56,52.0162100382466
1,4,57,52.882697080650004
1,4,58,53.74934136980578
1,4,59,54.589643513372636
1,4,60,55.45057315419149
1,4,61,56.31317824905283
1,4,62,57.1874766679122
1,4,63,58.06037654918048
1,4,64,58.91347252373386
1,4,65,59.761508202622636
1,4,66,60.61304736662913
1,4,67,61.443249290074334
1,4,68,62.25741698585585
1,4,69,63.08211799601622
1,4,70,63.94759707193272
1,4,71,64.78969862379465
1,4,72,65.62686470754349
1,4,73,66.45807923952849
1,4,74,67.29830000498688
1,4,75,68.13595112825811
1,4,76,68.94735630363037
1,4,77,69.77917280690465
1,4,78,70.60880929308142
1,4,79,71.47510470522084
1,4,80,72.27765953724
1,5,1,0.9852548472611584
1,5,2,1.9701877032884882
1,5,3,2.9541878568500843
1,5,4,3.937307615265888
1,5,5,4.915715341409953
1,5,6,5.89411856277111
1,5,7,6.87310255111878
1,5,8,7.845804881978395
1,5,9,8.820703044187841
1,5,10,9.787383982032127
1,5,11,10.751953932593878
1,5,12,11.712212492654526
1,5,13,12.673227409449472
1,5,14,13.631724688064725
1,5,15,14.58760250097006
1,5,16,15.547359991470303
1,5,17,16.5071912975323
1,5,18,17.45980477099528
1,5,19,18.42051459064625
1,5,20,19.378673372186718
1,5,21,20.327678017856467
1,5,22,21.264933874543104
1,5,23,22.20676283340007
1,5,24,23.144164814970686
1,5,25,24.075550864264944
1,5,26,25.01273780112384
1,5,27,25.941879534756648
1,5,28,26.87204365953899
1,5,29,27.79742846200916
1,5,30,28.724623032716806
1,5,31,29.638835017381044
1,5,32,30.555309485508722
1,5,33,31.469702042855868
1,5,34,32.389627700533104
1,5,35,33.29350959292564
1,5,36,34.19019370741212
1,5,37,35.099666836894684
1,5,38,36.00118268832027
1,5,39,36.900928561404086
1,5,40,37.79899710044289
1,5,41,38.70878453500244
1,5,42,39.613776586931294
1,5,43,40.50858599959816
1,5,44,41.40923192270532
1,5,45,42.29624871769213
1,5,46,43.19253299723188
1,5,47,44.076424323738685
1,5,48,44.95651085157219
1,5,49,45.828269867897944
1,5,50,46.74051602685472
1,5,51,47.61955380895439
1,5,52,48.51241436783943
1,5,53,49.40752508927169
1,5,54,50.29192894846368
