wake_model,bin_case,n_wd,n_ws,speed_mode,method,AEP [GWh],runtime_sec
NOJ,12wd_11ws,12,2,speed_bins,Baseline,758.3464815548651,0.18895769119262695
NOJ,12wd_11ws,12,2,speed_bins,SmartStart,758.9473744981942,111.40819931030273
NOJ,12wd_11ws,12,2,speed_bins,SS--2S,759.4871316837658,5933.935808181763
NOJ,36wd_5p5ws,36,4,speed_bins,Baseline,685.6469792305994,0.210679292678833
NOJ,36wd_5p5ws,36,4,speed_bins,SmartStart,694.2869131367466,103.05164670944214
NOJ,36wd_5p5ws,36,4,speed_bins,SS--2S,695.9038769839867,7904.556303977966
NOJ,36wd_2ws,36,11,speed_bins,Baseline,703.9564079589293,0.11184000968933105
NOJ,36wd_2ws,36,11,speed_bins,SmartStart,714.4277917562731,67.03062272071838
NOJ,36wd_2ws,36,11,speed_bins,SS--2S,716.6986473289678,8797.205153226852
NOJ,24wd_mean_ws,24,1,mean_ws,Baseline,70.21194741847633,0.23279237747192383
NOJ,24wd_mean_ws,24,1,mean_ws,SmartStart,72.53655882939303,114.73205590248108
NOJ,24wd_mean_ws,24,1,mean_ws,SS--2S,72.89193328839323,7084.316811323166
NOJ,36wd_mean_ws,36,1,mean_ws,Baseline,70.47447376426608,0.14588117599487305
NOJ,36wd_mean_ws,36,1,mean_ws,SmartStart,72.59491522721399,110.87107300758362
NOJ,36wd_mean_ws,36,1,mean_ws,SS--2S,73.08090623381639,7433.35905790329
NOJ,72wd_mean_ws,72,1,mean_ws,Baseline,70.00978952706822,0.11342263221740723
NOJ,72wd_mean_ws,72,1,mean_ws,SmartStart,72.44812882393614,110.37548899650574
NOJ,72wd_mean_ws,72,1,mean_ws,SS--2S,72.58650177523805,8118.905767440796
NOJ,site_bins_existing_csv,13,23,site_bins,SmartStart,714.0662667435868,88.15107846260071
NOJ,site_bins_existing_csv,13,23,site_bins,SS--2S,714.8099388041155,63828.50878906262
