wake_model,bin_case,seed,n_wd,n_ws,speed_mode,method,AEP [GWh],runtime_sec
NOJ,12wd_11ws,1.0,12,2,speed_bins,Baseline,758.3464815548651,0.32608556747436523
NOJ,12wd_11ws,1.0,12,2,speed_bins,SmartStart,758.8842957623218,60.87555289268494
NOJ,12wd_11ws,1.0,12,2,speed_bins,SS--2S,759.364226384476,1821.2987406253815
NOJ,36wd_5p5ws,1.0,36,4,speed_bins,Baseline,685.6469792305994,0.12305188179016113
NOJ,36wd_5p5ws,1.0,36,4,speed_bins,SmartStart,693.9336598698003,64.49538040161133
NOJ,36wd_5p5ws,1.0,36,4,speed_bins,SS--2S,696.1393499855707,3328.9150080680847
NOJ,36wd_2ws,1.0,36,11,speed_bins,Baseline,703.9564079589293,0.19556117057800293
NOJ,36wd_2ws,1.0,36,11,speed_bins,SmartStart,713.7999708674952,97.46053647994995
NOJ,36wd_2ws,1.0,36,11,speed_bins,SS--2S,716.8690634834717,3238.411280632019
NOJ,24wd_mean_ws,1.0,24,1,mean_ws,Baseline,70.21194741847633,0.11455512046813965
NOJ,24wd_mean_ws,1.0,24,1,mean_ws,SmartStart,72.57518950818215,81.79904699325562
NOJ,24wd_mean_ws,1.0,24,1,mean_ws,SS--2S,72.84033876377273,2198.598692893982
NOJ,36wd_mean_ws,1.0,36,1,mean_ws,Baseline,70.47447376426608,0.11167764663696289
NOJ,36wd_mean_ws,1.0,36,1,mean_ws,SmartStart,72.49190472689548,56.611443758010864
NOJ,36wd_mean_ws,1.0,36,1,mean_ws,SS--2S,73.10164762324148,3142.530842781067
NOJ,72wd_mean_ws,1.0,72,1,mean_ws,Baseline,70.00978952706822,0.1163187026977539
NOJ,72wd_mean_ws,1.0,72,1,mean_ws,SmartStart,72.36231700642,58.71446132659912
NOJ,72wd_mean_ws,1.0,72,1,mean_ws,SS--2S,72.51892392044026,2407.5668683052063
NOJ,12wd_11ws,2.0,12,2,speed_bins,Baseline,758.3464815548651,0.1681535243988037
NOJ,12wd_11ws,2.0,12,2,speed_bins,SmartStart,758.9107144223447,105.82592797279358
NOJ,12wd_11ws,2.0,12,2,speed_bins,SS--2S,759.3912113644653,3426.3143208026886
NOJ,36wd_5p5ws,2.0,36,4,speed_bins,Baseline,685.6469792305994,0.18617939949035645
NOJ,36wd_5p5ws,2.0,36,4,speed_bins,SmartStart,694.1814677085029,99.8960177898407
NOJ,36wd_5p5ws,2.0,36,4,speed_bins,SS--2S,695.8351465890175,4338.54345870018
NOJ,36wd_2ws,2.0,36,11,speed_bins,Baseline,703.9564079589293,0.3364071846008301
NOJ,36wd_2ws,2.0,36,11,speed_bins,SmartStart,714.2292237303114,103.07086324691772
NOJ,36wd_2ws,2.0,36,11,speed_bins,SS--2S,716.4274227110634,4861.646474123001
NOJ,24wd_mean_ws,2.0,24,1,mean_ws,Baseline,70.21194741847633,0.18487906455993652
NOJ,24wd_mean_ws,2.0,24,1,mean_ws,SmartStart,72.5537571211303,99.48755478858948
NOJ,24wd_mean_ws,2.0,24,1,mean_ws,SS--2S,72.89079652304164,3492.4822471141815
NOJ,36wd_mean_ws,2.0,36,1,mean_ws,Baseline,70.47447376426608,0.13884568214416504
NOJ,36wd_mean_ws,2.0,36,1,mean_ws,SmartStart,72.5609538825108,99.43445444107056
NOJ,36wd_mean_ws,2.0,36,1,mean_ws,SS--2S,72.99419542568015,3924.422826766968
NOJ,72wd_mean_ws,2.0,72,1,mean_ws,Baseline,70.00978952706822,0.30924224853515625
NOJ,72wd_mean_ws,2.0,72,1,mean_ws,SmartStart,72.3986074105361,109.26268339157104
NOJ,72wd_mean_ws,2.0,72,1,mean_ws,SS--2S,72.55711035480094,3130.874068260193
NOJ,12wd_11ws,3.0,12,2,speed_bins,Baseline,758.3464815548651,0.14433598518371582
NOJ,12wd_11ws,3.0,12,2,speed_bins,SmartStart,758.8443534273952,57.55752635002136
NOJ,12wd_11ws,3.0,12,2,speed_bins,SS--2S,759.4370427635924,2692.4739162921906
NOJ,36wd_5p5ws,3.0,36,4,speed_bins,Baseline,685.6469792305994,0.3550887107849121
NOJ,36wd_5p5ws,3.0,36,4,speed_bins,SmartStart,694.190917642122,102.49549651145935
NOJ,36wd_5p5ws,3.0,36,4,speed_bins,SS--2S,696.0148282092218,2705.5307195186615
NOJ,36wd_2ws,3.0,36,11,speed_bins,Baseline,703.9564079589293,0.1215672492980957
NOJ,36wd_2ws,3.0,36,11,speed_bins,SmartStart,714.0820024082916,56.735881328582764
NOJ,36wd_2ws,3.0,36,11,speed_bins,SS--2S,716.7701397500261,4513.986217737198
NOJ,24wd_mean_ws,3.0,24,1,mean_ws,Baseline,70.21194741847633,0.14559721946716309
NOJ,24wd_mean_ws,3.0,24,1,mean_ws,SmartStart,72.56323336929988,102.38740921020508
NOJ,24wd_mean_ws,3.0,24,1,mean_ws,SS--2S,72.84145515845039,3200.2571058273315
NOJ,36wd_mean_ws,3.0,36,1,mean_ws,Baseline,70.47447376426608,0.15525484085083008
NOJ,36wd_mean_ws,3.0,36,1,mean_ws,SmartStart,72.55629396467168,100.62007260322571
NOJ,36wd_mean_ws,3.0,36,1,mean_ws,SS--2S,73.03073813240836,3484.3844180107117
NOJ,72wd_mean_ws,3.0,72,1,mean_ws,Baseline,70.00978952706822,0.15087604522705078
NOJ,72wd_mean_ws,3.0,72,1,mean_ws,SmartStart,72.37732886775869,99.07368683815002
NOJ,72wd_mean_ws,3.0,72,1,mean_ws,SS--2S,72.55363201065144,3657.722192764282
NOJ,site_bins_existing_csv,,13,23,site_bins,SmartStart,714.0662667435868,88.15107846260071
NOJ,site_bins_existing_csv,,13,23,site_bins,SS--2S,714.8099388041155,63828.50878906262
