run_name,seed,iteration,phase,AEP [GWh],elapsed_sec,using_site_bins
12wd_11ws,1,0,SmartStart,758.8842957623218,60.87555289268494,False
12wd_11ws,1,1,Two-step,758.8899273517326,71.61111209268711,False
12wd_11ws,1,2,Two-step,758.8970346748832,81.68818969268614,False
12wd_11ws,1,3,Two-step,758.899907950843,91.51635719268961,False
12wd_11ws,1,4,Two-step,758.899907950843,102.02832479268545,False
12wd_11ws,1,5,Two-step,758.899907950843,111.65793799269159,False
12wd_11ws,1,6,Two-step,758.9244396779727,122.61433999268775,False
12wd_11ws,1,7,Two-step,758.9244396779727,133.33632499269152,False
12wd_11ws,1,8,Two-step,758.9329194609395,143.0337818926855,False
12wd_11ws,1,9,Two-step,758.9586161605876,153.35650599269138,False
12wd_11ws,1,10,Two-step,758.9586161605876,163.61889079269167,False
12wd_11ws,1,11,Two-step,758.9660110567488,173.07644279269152,False
12wd_11ws,1,12,Two-step,758.9660110567488,183.5223608926899,False
12wd_11ws,1,13,Two-step,758.9806230169186,193.97415169268788,False
12wd_11ws,1,14,Two-step,758.9806230169186,203.8998790926853,False
12wd_11ws,1,15,Two-step,758.9969359111418,214.75585939268785,False
12wd_11ws,1,16,Two-step,758.9969359111418,224.4179444926849,False
12wd_11ws,1,17,Two-step,759.0009604731107,234.3383747926855,False
12wd_11ws,1,18,Two-step,759.011191751652,244.6956184926894,False
12wd_11ws,1,19,Two-step,759.0143956578081,254.21662599268893,False
12wd_11ws,1,20,Two-step,759.0143956578081,264.7236006926905,False
12wd_11ws,1,21,Two-step,759.0160091007972,275.24427359268884,False
12wd_11ws,1,22,Two-step,759.0238413774722,285.158266092687,False
12wd_11ws,1,23,Two-step,759.02489420825,295.47624749269016,False
12wd_11ws,1,24,Two-step,759.0369920988376,305.3990831926858,False
12wd_11ws,1,25,Two-step,759.0373867699036,315.4752443926918,False
12wd_11ws,1,26,Two-step,759.0373867699036,325.75635389269155,False
12wd_11ws,1,27,Two-step,759.0437188588571,335.596218592691,False
12wd_11ws,1,28,Two-step,759.060005927769,346.3386453926869,False
12wd_11ws,1,29,Two-step,759.0661503112511,357.1199610926851,False
12wd_11ws,1,30,Two-step,759.0661503112511,366.6021858926906,False
12wd_11ws,1,31,Two-step,759.0692418395435,377.05667789268773,False
12wd_11ws,1,32,Two-step,759.0697084616255,387.370520592689,False
12wd_11ws,1,33,Two-step,759.0772044818973,397.0027488926862,False
12wd_11ws,1,34,Two-step,759.0772044818973,407.47298729269096,False
12wd_11ws,1,35,Two-step,759.082671402668,418.04687119268783,False
12wd_11ws,1,36,Two-step,759.082671402668,428.25386409268685,False
12wd_11ws,1,37,Two-step,759.0841590313113,438.76277449268673,False
12wd_11ws,1,38,Two-step,759.0945307739898,448.67007889269007,False
12wd_11ws,1,39,Two-step,759.0945307739898,458.7749462926877,False
12wd_11ws,1,40,Two-step,759.0948492841819,469.2228182926847,False
12wd_11ws,1,41,Two-step,759.0948492841819,478.92177699269087,False
12wd_11ws,1,42,Two-step,759.0952967652538,489.63682919269195,False
12wd_11ws,1,43,Two-step,759.0952967652538,500.71601929268945,False
12wd_11ws,1,44,Two-step,759.1108238660136,510.84242739268666,False
12wd_11ws,1,45,Two-step,759.1239160043069,521.3890450926847,False
12wd_11ws,1,46,Two-step,759.1239160043069,531.9581343926911,False
12wd_11ws,1,47,Two-step,759.1303272492419,541.5733009926917,False
12wd_11ws,1,48,Two-step,759.1307296715584,552.792180592689,False
12wd_11ws,1,49,Two-step,759.143547520589,563.4180876926912,False
12wd_11ws,1,50,Two-step,759.143547520589,573.6623351926901,False
12wd_11ws,1,51,Two-step,759.1471654049305,584.6986039926851,False
12wd_11ws,1,52,Two-step,759.1482423596635,595.4485754926864,False
12wd_11ws,1,53,Two-step,759.1482423596635,605.3042919926884,False
12wd_11ws,1,54,Two-step,759.1482423596635,616.0537876926901,False
12wd_11ws,1,55,Two-step,759.1786948134572,627.0183259926853,False
12wd_11ws,1,56,Two-step,759.1786948134572,636.9941444926881,False
12wd_11ws,1,57,Two-step,759.1907524986758,648.3217342926873,False
12wd_11ws,1,58,Two-step,759.2117843697852,659.6853408926909,False
12wd_11ws,1,59,Two-step,759.2117843697852,669.6917503926888,False
12wd_11ws,1,60,Two-step,759.2243621371103,680.7434259926886,False
12wd_11ws,1,61,Two-step,759.2243621371103,691.6127619926847,False
12wd_11ws,1,62,Two-step,759.2243621371103,701.9010317926877,False
12wd_11ws,1,63,Two-step,759.2243621371103,713.1757151926868,False
12wd_11ws,1,64,Two-step,759.2355711472887,724.6428486926889,False
12wd_11ws,1,65,Two-step,759.2355711472887,735.0696901926858,False
12wd_11ws,1,66,Two-step,759.2355711472887,746.0996003926848,False
12wd_11ws,1,67,Two-step,759.2355711472887,757.7003834926873,False
