script,wake_model,seed,opt_bin_label,method,Fine AEP [GWh],eval_wd_step_deg,eval_n_wd,eval_ws_step,eval_ws_min,eval_ws_max
ResultsRS,NOJ,1,10 deg bins,Current Horns Rev,701.8653557500002,1,360,1,3,25
ResultsRS,NOJ,1,10 deg bins,RS,714.3200249898538,1,360,1,3,25
ResultsRS,NOJ,1,10 deg bins,RS--2S,714.4799707839179,1,360,1,3,25
ResultsRS,NOJ,1,10 deg bins,RS--2S--GB,714.4934819786024,1,360,1,3,25
ResultsRS,NOJ,1,10 deg bins,RS--GB,714.3340244408937,1,360,1,3,25
ResultsRS,NOJ,1,5 deg bins,Current Horns Rev,701.8653557500002,1,360,1,3,25
ResultsRS,NOJ,1,5 deg bins,RS,715.1495892124769,1,360,1,3,25
ResultsRS,NOJ,1,5 deg bins,RS--2S,715.2059035295349,1,360,1,3,25
ResultsRS,NOJ,1,5 deg bins,RS--2S--GB,715.2059035295349,1,360,1,3,25
ResultsRS,NOJ,1,5 deg bins,RS--GB,715.1495892124769,1,360,1,3,25
ResultsRS,NOJ,2,10 deg bins,Current Horns Rev,701.8653557500002,1,360,1,3,25
ResultsRS,NOJ,2,10 deg bins,RS,714.3119354849334,1,360,1,3,25
ResultsRS,NOJ,2,10 deg bins,RS--2S,714.7475520274727,1,360,1,3,25
ResultsRS,NOJ,2,10 deg bins,RS--2S--GB,714.7893999446937,1,360,1,3,25
ResultsRS,NOJ,2,10 deg bins,RS--GB,714.3716685176867,1,360,1,3,25
ResultsRS,NOJ,2,5 deg bins,Current Horns Rev,701.8653557500002,1,360,1,3,25
ResultsRS,NOJ,2,5 deg bins,RS,714.8628386376877,1,360,1,3,25
ResultsRS,NOJ,2,5 deg bins,RS--2S,715.0286888365631,1,360,1,3,25
ResultsRS,NOJ,2,5 deg bins,RS--2S--GB,715.0286888365631,1,360,1,3,25
ResultsRS,NOJ,2,5 deg bins,RS--GB,714.8628386376877,1,360,1,3,25
ResultsRS,NOJ,3,10 deg bins,Current Horns Rev,701.8653557500002,1,360,1,3,25
ResultsRS,NOJ,3,10 deg bins,RS,714.8382349776684,1,360,1,3,25
ResultsRS,NOJ,3,10 deg bins,RS--2S,714.9279437124521,1,360,1,3,25
ResultsRS,NOJ,3,10 deg bins,RS--2S--GB,714.9413021123394,1,360,1,3,25
ResultsRS,NOJ,3,10 deg bins,RS--GB,714.8665377366141,1,360,1,3,25
ResultsRS,NOJ,3,5 deg bins,Current Horns Rev,701.8653557500002,1,360,1,3,25
ResultsRS,NOJ,3,5 deg bins,RS,715.2148260994957,1,360,1,3,25
ResultsRS,NOJ,3,5 deg bins,RS--2S,715.4938251155713,1,360,1,3,25
ResultsRS,NOJ,3,5 deg bins,RS--2S--GB,715.4938251155713,1,360,1,3,25
