script,wake_model,seed,wd_step_deg,n_wd,ws,random_pct,method,AEP [GWh],Surrogate AEP [GWh],Improvement over Horns Rev [GWh],runtime_sec,iterations
ResultsSS,NOJ,1,5,72,9.6,10,Current Horns Rev,701.8653557500002,70.00978952706822,0.0,0.0,0
ResultsSS,NOJ,1,5,72,9.6,10,SmartStart,712.5999260931526,72.12193614866618,10.734570343152427,138.19963420007844,0
ResultsSS,NOJ,2,5,72,9.6,10,Current Horns Rev,701.8653557500002,70.00978952706822,0.0,0.0,0
ResultsSS,NOJ,2,5,72,9.6,10,SmartStart,712.4610690302251,72.104949528579,10.595713280224913,129.65168669994455,0
ResultsSS,NOJ,3,5,72,9.6,10,Current Horns Rev,701.8653557500002,70.00978952706822,0.0,0.0,0
ResultsSS,NOJ,3,5,72,9.6,10,SmartStart,712.3267720782877,72.0677044061938,10.461416328287555,128.88095849996898,0
ResultsSS,NOJ,4,5,72,9.6,10,Current Horns Rev,701.8653557500002,70.00978952706822,0.0,0.0,0
ResultsSS,NOJ,4,5,72,9.6,10,SmartStart,712.0367289169942,72.03257352447444,10.171373166994044,111.0635155000491,0
ResultsSS,NOJ,5,5,72,9.6,10,Current Horns Rev,701.8653557500002,70.00978952706822,0.0,0.0,0
ResultsSS,NOJ,5,5,72,9.6,10,SmartStart,712.3272656645684,72.09283859113029,10.461909914568196,116.65907689998858,0
