seed,spacing_D,Final AEP [GWh],Runtime [min],Min spacing [D],Spacing violation,Status
1,3,72.33466965278694,2.199771806666589,3.0861842105165125,False,ok
1,4,72.27765953724,1.4477077099999103,4.1565789473679615,False,ok
1,5,72.31562333858501,0.9849835583328967,5.177034047303918,False,ok
1,6,,,,True,failed: No feasible positions for wt 77
2,3,72.19957925017121,1.6091395383332079,3.086184210528154,False,ok
2,4,72.16181375217445,1.2812529333333562,4.1565789473679615,False,ok
2,5,72.34584464782873,1.003612851666791,5.177034047304502,False,ok
2,6,,,,True,failed: No feasible positions for wt 77
3,3,72.2047620985852,1.556286563333318,3.0861842105165125,False,ok
3,4,72.17155513263042,1.262173340000057,4.1565789473679615,False,ok
3,5,72.3507002178379,0.9804546999997305,5.177034047310857,False,ok
3,6,,,,True,failed: No feasible positions for wt 76
