script,wake_model,seed,method,AEP [GWh],Surrogate AEP [GWh],Improvement over Horns Rev [GWh],runtime_sec,iterations,wd_step_deg,n_wd,ws
ResultsSS,NOJ,1,Current Horns Rev,701.8653557500002,70.00978952706822,0.0,0.0,0,5,72,9.6
ResultsSS,NOJ,1,SmartStart,712.5999260931526,72.12193614866618,10.734570343152427,92.42369329999201,0,5,72,9.6
ResultsSS,NOJ,1,SS--2S,714.8057396543554,72.61819795928626,12.940383904355258,7549.254635700025,240,5,72,9.6
ResultsSS,NOJ,1,SS--GB,712.5999260931526,72.12193614866618,10.734570343152427,95.79474829998799,2000,5,72,9.6
ResultsSS,NOJ,1,SS--2S--GB,714.8057396543554,72.61819795928626,12.940383904355258,7552.057706199994,2240,5,72,9.6
ResultsSS,NOJ,2,Current Horns Rev,701.8653557500002,70.00978952706822,0.0,0.0,0,5,72,9.6
ResultsSS,NOJ,2,SmartStart,712.4610690302251,72.104949528579,10.595713280224913,71.97829680005088,0,5,72,9.6
ResultsSS,NOJ,2,SS--2S,714.8122558831217,72.61195247546434,12.946900133121517,7017.001920300012,240,5,72,9.6
ResultsSS,NOJ,2,SS--GB,712.4610690302251,72.104949528579,10.595713280224913,77.01067160005914,2000,5,72,9.6
ResultsSS,NOJ,2,SS--2S--GB,714.8122558831217,72.61195247546434,12.946900133121517,7022.428255700041,2240,5,72,9.6
ResultsSS,NOJ,3,Current Horns Rev,701.8653557500002,70.00978952706822,0.0,0.0,0,5,72,9.6
ResultsSS,NOJ,3,SmartStart,712.3267720782877,72.0677044061938,10.461416328287555,125.339836500003,0,5,72,9.6
ResultsSS,NOJ,3,SS--2S,714.7825740453558,72.57987809338042,12.91721829535561,6543.644002299989,240,5,72,9.6
ResultsSS,NOJ,3,SS--GB,712.3267720782877,72.0677044061938,10.461416328287555,130.31957559997682,2000,5,72,9.6
ResultsSS,NOJ,3,SS--2S--GB,714.7825740453558,72.57987809338042,12.91721829535561,6549.53449250001,2240,5,72,9.6
ResultsSS,BastankhahGaussian,1,Current Horns Rev,688.025674779022,67.98974994852719,0.0,0.0,0,5,72,9.6
ResultsSS,BastankhahGaussian,1,SmartStart,700.4161615428607,70.19236290517844,12.39048676383868,222.74033699999563,0,5,72,9.6
ResultsSS,BastankhahGaussian,1,SS--2S,702.6019775548899,70.9419577344141,14.57630277586793,6080.225011600007,240,5,72,9.6
ResultsSS,BastankhahGaussian,1,SS--GB,700.4161615428607,70.19236290517844,12.39048676383868,226.31419989996357,2000,5,72,9.6
ResultsSS,BastankhahGaussian,1,SS--2S--GB,702.6019775548899,70.9419577344141,14.57630277586793,6084.030208099983,2240,5,72,9.6
ResultsSS,BastankhahGaussian,2,Current Horns Rev,688.025674779022,67.98974994852719,0.0,0.0,0,5,72,9.6
ResultsSS,BastankhahGaussian,2,SmartStart,700.3953018832357,70.19376901461558,12.369627104213691,220.56090229999973,0,5,72,9.6
ResultsSS,BastankhahGaussian,2,SS--2S,702.5563452310407,71.0405856489265,14.53067045201874,6159.432288500015,240,5,72,9.6
ResultsSS,BastankhahGaussian,2,SS--GB,700.3953018832357,70.19376901461558,12.369627104213691,225.36678110004868,2000,5,72,9.6
ResultsSS,BastankhahGaussian,2,SS--2S--GB,702.5563452310407,71.0405856489265,14.53067045201874,6163.857110800047,2240,5,72,9.6
ResultsSS,BastankhahGaussian,3,Current Horns Rev,688.025674779022,67.98974994852719,0.0,0.0,0,5,72,9.6
ResultsSS,BastankhahGaussian,3,SmartStart,700.7209503292974,70.2768760416925,12.695275550275369,216.91191840003012,0,5,72,9.6
ResultsSS,BastankhahGaussian,3,SS--2S,702.868263410036,70.96644131805148,14.842588631013996,4538.597094800032,240,5,72,9.6
ResultsSS,BastankhahGaussian,3,SS--GB,701.9889741197891,70.49571859545676,13.963299340767094,250.957094900019,2000,5,72,9.6
ResultsSS,BastankhahGaussian,3,SS--2S--GB,702.868263410036,70.96644131805148,14.842588631013996,4543.251338400005,2240,5,72,9.6
