batch,summary_file,script,source_script,source_method,layout_method,source_opt_bin_label,wake_model,seed,method,run_type,aep_gwh,gain_gwh,runtime_min,iterations,gb_bin_setup,ss_bin_setup
03_SourceLayouts_GB_FullBins,source_layouts_gb_fullbins_summary_20260523_054538.csv,RunSourceLayouts_GB_FullBins,ResultsRS,RS--2S,RS--2S,5 deg bins,NOJ,1,RS--2S--GB-fullbins,GB full bins,715.3724527171935,0.1665491876585747,6.473575069999788,200,wd1deg_ws3-25_step1,
03_SourceLayouts_GB_FullBins,source_layouts_gb_fullbins_summary_20260523_054538.csv,RunSourceLayouts_GB_FullBins,ResultsRS,RS--2S,RS--2S,5 deg bins,NOJ,2,RS--2S--GB-fullbins,GB full bins,715.3201572914988,0.2914684549357389,14.518548515000536,200,wd1deg_ws3-25_step1,
03_SourceLayouts_GB_FullBins,source_layouts_gb_fullbins_summary_20260523_054538.csv,RunSourceLayouts_GB_FullBins,ResultsRS,RS--2S,RS--2S,5 deg bins,NOJ,3,RS--2S--GB-fullbins,GB full bins,715.8134403655721,0.3196152500007656,16.380167038333216,200,wd1deg_ws3-25_step1,
03_SourceLayouts_GB_FullBins,source_layouts_gb_fullbins_summary_20260523_054538.csv,RunSourceLayouts_GB_FullBins,ResultsRS,RS--2S,RS--2S,5 deg bins,NOJ,4,RS--2S--GB-fullbins,GB full bins,715.6851079736487,0.1369489854157564,6.842730816667124,200,wd1deg_ws3-25_step1,
03_SourceLayouts_GB_FullBins,source_layouts_gb_fullbins_summary_20260523_054538.csv,RunSourceLayouts_GB_FullBins,ResultsRS,RS--2S,RS--2S,5 deg bins,NOJ,5,RS--2S--GB-fullbins,GB full bins,715.4694564047309,0.1775803349312354,7.935417776667359,200,wd1deg_ws3-25_step1,
03_SourceLayouts_GB_FullBins,source_layouts_gb_fullbins_summary_20260523_054538.csv,RunSourceLayouts_GB_FullBins,ResultsRS,RS,RS,5 deg bins,NOJ,1,RS--GB-fullbins,GB full bins,715.4091639949557,0.2595747824788077,18.205750691665646,200,wd1deg_ws3-25_step1,
03_SourceLayouts_GB_FullBins,source_layouts_gb_fullbins_summary_20260523_054538.csv,RunSourceLayouts_GB_FullBins,ResultsRS,RS,RS,5 deg bins,NOJ,2,RS--GB-fullbins,GB full bins,715.0520627413837,0.1892241036960058,8.181158535000092,200,wd1deg_ws3-25_step1,
03_SourceLayouts_GB_FullBins,source_layouts_gb_fullbins_summary_20260523_054538.csv,RunSourceLayouts_GB_FullBins,ResultsRS,RS,RS,5 deg bins,NOJ,3,RS--GB-fullbins,GB full bins,715.6328634422003,0.4180373427046788,20.316017345001452,200,wd1deg_ws3-25_step1,
03_SourceLayouts_GB_FullBins,source_layouts_gb_fullbins_summary_20260523_054538.csv,RunSourceLayouts_GB_FullBins,ResultsRS,RS,RS,5 deg bins,NOJ,4,RS--GB-fullbins,GB full bins,715.562653030343,0.255894361825085,11.99966955333366,200,wd1deg_ws3-25_step1,
03_SourceLayouts_GB_FullBins,source_layouts_gb_fullbins_summary_20260523_054538.csv,RunSourceLayouts_GB_FullBins,ResultsRS,RS,RS,5 deg bins,NOJ,5,RS--GB-fullbins,GB full bins,715.3241434647069,0.2030881896690743,8.661511814999782,200,wd1deg_ws3-25_step1,
03_SourceLayouts_GB_FullBins,source_layouts_gb_fullbins_summary_20260523_054538.csv,RunSourceLayouts_GB_FullBins,ResultsSS,SS--2S,SS--2S,5 deg bins,NOJ,1,SS--2S--GB-fullbins,GB full bins,715.412441868352,0.5233161516035807,11.258866621666433,200,wd1deg_ws3-25_step1,
03_SourceLayouts_GB_FullBins,source_layouts_gb_fullbins_summary_20260523_054538.csv,RunSourceLayouts_GB_FullBins,ResultsSS,SS--2S,SS--2S,5 deg bins,NOJ,2,SS--2S--GB-fullbins,GB full bins,715.4768538190879,0.6698597477225121,14.183130841665358,200,wd1deg_ws3-25_step1,
02_BestSS2S_GB_FullBins,best_ss2s_gb_fullbins_summary_20260523_043420.csv,RunBestSS2S_GB_FullBins,ResultsSS,,,5 deg bins,NOJ,3,SS--2S--GB-fullbins,GB full bins,715.4296974602025,0.4354908747619674,10.638986346664995,200,wd1deg_ws3-25_step1,
03_SourceLayouts_GB_FullBins,source_layouts_gb_fullbins_summary_20260523_054538.csv,RunSourceLayouts_GB_FullBins,ResultsSS,SS--2S,SS--2S,5 deg bins,NOJ,3,SS--2S--GB-fullbins,GB full bins,715.4296974602025,0.4354908747619674,8.2185191149998,200,wd1deg_ws3-25_step1,
03_SourceLayouts_GB_FullBins,source_layouts_gb_fullbins_summary_20260523_054538.csv,RunSourceLayouts_GB_FullBins,ResultsSS,SS--2S,SS--2S,5 deg bins,NOJ,4,SS--2S--GB-fullbins,GB full bins,715.2730403107936,0.590404361996093,9.063785459999538,200,wd1deg_ws3-25_step1,
03_SourceLayouts_GB_FullBins,source_layouts_gb_fullbins_summary_20260523_054538.csv,RunSourceLayouts_GB_FullBins,ResultsSS,SS--2S,SS--2S,5 deg bins,NOJ,5,SS--2S--GB-fullbins,GB full bins,715.1782971465775,0.334325826998338,5.520552679999188,200,wd1deg_ws3-25_step1,
01_SS_GB_FullBins,ss_gb_fullbins_summary_20260523_031110.csv,RunSS_GB_FullBins,,,,,NOJ,1,SS--GB,GB full bins,715.2052529546654,2.605326861512822,68.71120088999936,200,wd1deg_ws3-25_step1,wd1deg_ws3-25_step1
03_SourceLayouts_GB_FullBins,source_layouts_gb_fullbins_summary_20260523_054538.csv,RunSourceLayouts_GB_FullBins,ResultsSS,SS,SmartStart,5 deg bins,NOJ,1,SS--GB-fullbins,GB full bins,715.2288051106394,2.6288790174867245,106.2294215783341,200,wd1deg_ws3-25_step1,
03_SourceLayouts_GB_FullBins,source_layouts_gb_fullbins_summary_20260523_054538.csv,RunSourceLayouts_GB_FullBins,ResultsSS,SS,SmartStart,5 deg bins,NOJ,2,SS--GB-fullbins,GB full bins,715.2377726150464,2.776703584821803,103.90309796333312,200,wd1deg_ws3-25_step1,
03_SourceLayouts_GB_FullBins,source_layouts_gb_fullbins_summary_20260523_054538.csv,RunSourceLayouts_GB_FullBins,ResultsSS,SS,SmartStart,5 deg bins,NOJ,3,SS--GB-fullbins,GB full bins,714.6971919694055,2.3704198911178764,102.62762724833446,200,wd1deg_ws3-25_step1,
03_SourceLayouts_GB_FullBins,source_layouts_gb_fullbins_summary_20260523_054538.csv,RunSourceLayouts_GB_FullBins,ResultsSS,SS,SmartStart,5 deg bins,NOJ,4,SS--GB-fullbins,GB full bins,714.9131606903082,2.876431773314266,102.8748604833323,200,wd1deg_ws3-25_step1,
03_SourceLayouts_GB_FullBins,source_layouts_gb_fullbins_summary_20260523_054538.csv,RunSourceLayouts_GB_FullBins,ResultsSS,SS,SmartStart,5 deg bins,NOJ,5,SS--GB-fullbins,GB full bins,715.0276756121087,2.7004099475406065,99.79623845666647,200,wd1deg_ws3-25_step1,
01_SS_GB_FullBins,ss_gb_fullbins_summary_20260523_031110.csv,RunSS_GB_FullBins,,,,,NOJ,1,Current Horns Rev,baseline,701.8653557500002,,0.0,0,wd1deg_ws3-25_step1,wd1deg_ws3-25_step1
03_SourceLayouts_GB_FullBins,source_layouts_gb_fullbins_summary_20260523_054538.csv,RunSourceLayouts_GB_FullBins,ResultsSS,SS,SmartStart,5 deg bins,NOJ,1,Current Horns Rev,baseline,701.8653557500002,,0.0,0,wd1deg_ws3-25_step1,
03_SourceLayouts_GB_FullBins,source_layouts_gb_fullbins_summary_20260523_054538.csv,RunSourceLayouts_GB_FullBins,ResultsSS,SS--2S,SS--2S,5 deg bins,NOJ,1,Current Horns Rev,baseline,701.8653557500002,,0.0,0,wd1deg_ws3-25_step1,
03_SourceLayouts_GB_FullBins,source_layouts_gb_fullbins_summary_20260523_054538.csv,RunSourceLayouts_GB_FullBins,ResultsRS,RS,RS,5 deg bins,NOJ,1,Current Horns Rev,baseline,701.8653557500002,,0.0,0,wd1deg_ws3-25_step1,
03_SourceLayouts_GB_FullBins,source_layouts_gb_fullbins_summary_20260523_054538.csv,RunSourceLayouts_GB_FullBins,ResultsRS,RS--2S,RS--2S,5 deg bins,NOJ,1,Current Horns Rev,baseline,701.8653557500002,,0.0,0,wd1deg_ws3-25_step1,
03_SourceLayouts_GB_FullBins,source_layouts_gb_fullbins_summary_20260523_054538.csv,RunSourceLayouts_GB_FullBins,ResultsSS,SS,SmartStart,5 deg bins,NOJ,2,Current Horns Rev,baseline,701.8653557500002,,0.0,0,wd1deg_ws3-25_step1,
03_SourceLayouts_GB_FullBins,source_layouts_gb_fullbins_summary_20260523_054538.csv,RunSourceLayouts_GB_FullBins,ResultsSS,SS--2S,SS--2S,5 deg bins,NOJ,2,Current Horns Rev,baseline,701.8653557500002,,0.0,0,wd1deg_ws3-25_step1,
