wake_model,seed,iterations,max_step_D,method,AEP [GWh],Improvement over Horns Rev [GWh],runtime_sec
NOJ,1,0,10,Current Horns Rev,70.47447376426608,0.0,
NOJ,1,100,10,RandomSearch,71.02809921252788,0.5536254482617977,36.964958900003694
NOJ,1,500,10,RandomSearch,72.0520472017855,1.577573437519419,176.28516179998405
NOJ,1,1000,10,RandomSearch,72.52217946397677,2.04770569971069,332.7649936999951
NOJ,1,2000,10,RandomSearch,72.7949495409789,2.3204757767128257,660.2626369000063
NOJ,1,5000,10,RandomSearch,73.09685481314199,2.6223810488759085,1989.6535945000069
NOJ,1,10000,10,RandomSearch,73.21440349693972,2.7399297326736445,4971.397380299983
NOJ,2,0,10,Current Horns Rev,70.47447376426608,0.0,
NOJ,2,100,10,RandomSearch,70.9680129988584,0.4935392345923191,69.17588870000327
NOJ,2,500,10,RandomSearch,72.02558727908121,1.5511135148151283,323.5746026999841
NOJ,2,1000,10,RandomSearch,72.45485886906552,1.9803851047994385,575.8449306999973
NOJ,2,2000,10,RandomSearch,72.83190345859711,2.3574296943310316,1192.287665699987
NOJ,2,5000,10,RandomSearch,73.0768933698985,2.60241960563242,1624.3954593999952
NOJ,2,10000,10,RandomSearch,73.16716476880416,2.6926910045380765,3995.518584000005
NOJ,3,0,10,Current Horns Rev,70.47447376426608,0.0,
NOJ,3,100,10,RandomSearch,70.94863585813243,0.47416209386635444,38.556254800001625
NOJ,3,500,10,RandomSearch,72.0504079071363,1.5759341428702243,180.48132600000827
NOJ,3,1000,10,RandomSearch,72.56760873358084,2.093134969314761,492.77142579999054
NOJ,3,2000,10,RandomSearch,72.86639851468146,2.3919247504153844,722.1887547000078
NOJ,3,5000,10,RandomSearch,73.03487920844901,2.5604054441829334,2116.7021962
NOJ,3,10000,10,RandomSearch,73.13421206588316,2.6597383016170824,5144.39406749999
