wake_model,seed,iterations,max_step_D,method,AEP [GWh],Improvement over Horns Rev [GWh],runtime_sec
NOJ,1,2000,0,Current Horns Rev,70.47447376426608,0.0,
NOJ,1,2000,1,RandomSearch,71.14529826336859,0.6708244991025083,455.75526309999987
NOJ,1,2000,5,RandomSearch,72.34360672423644,1.8691329599703579,583.6546220000018
NOJ,1,2000,10,RandomSearch,72.7949495409789,2.3204757767128257,781.1331759000022
NOJ,1,2000,20,RandomSearch,72.9904444953614,2.5159707310953223,1595.8860994999995
NOJ,1,2000,30,RandomSearch,72.95458543950734,2.480111675241261,1352.6968022999936
NOJ,1,2000,50,RandomSearch,72.9627235682921,2.488249804026026,2822.492440000002
NOJ,2,2000,0,Current Horns Rev,70.47447376426608,0.0,
NOJ,2,2000,1,RandomSearch,71.10120348495613,0.6267297206900508,1031.4897477999912
NOJ,2,2000,5,RandomSearch,72.51932160244912,2.0448478381830455,1107.9440915999876
NOJ,2,2000,10,RandomSearch,72.83190345859711,2.3574296943310316,1332.2769442000135
NOJ,2,2000,20,RandomSearch,72.96649058978957,2.4920168255234927,3294.470446499996
NOJ,2,2000,30,RandomSearch,73.00908085136572,2.534607087099644,1562.7619036000106
NOJ,2,2000,50,RandomSearch,72.92779531974212,2.4533215554760375,1637.3497349999961
NOJ,3,2000,0,Current Horns Rev,70.47447376426608,0.0,
NOJ,3,2000,1,RandomSearch,70.98615527586784,0.5116815116017648,767.6726628000033
NOJ,3,2000,5,RandomSearch,72.52039563809836,2.0459218738322846,856.7750993999944
NOJ,3,2000,10,RandomSearch,72.86639851468146,2.3919247504153844,880.1702708000084
NOJ,3,2000,20,RandomSearch,73.03590095580864,2.5614271915425633,1163.9410905000113
NOJ,3,2000,30,RandomSearch,72.91960589026965,2.445132126003571,1584.3528401000076
NOJ,3,2000,50,RandomSearch,72.98567409678947,2.511200332523387,2409.361489300005
